id,index,GO term,meaning,screening,category
GO:0006865,0,amino acid transport,,,biological_process
GO:0047879,1,erythronolide synthase activity,,,molecular_function
GO:1990397,2,queuosine salvage,,,biological_process
GO:0000136,3,mannan polymerase complex,,,cellular_component
GO:0031213,4,RSF complex,,,cellular_component
GO:0047111,5,formate dehydrogenase (cytochrome-c-553) activity,,,molecular_function
GO:0004057,6,arginyl-tRNA--protein transferase activity,,,molecular_function
GO:0004665,7,prephenate dehydrogenase (NADP+) activity,,,molecular_function
GO:0016151,8,nickel cation binding,,,molecular_function
GO:0005049,9,nuclear export signal receptor activity,,,molecular_function
GO:0005324,10,long-chain fatty acid transmembrane transporter activity,促进长链脂肪酸跨膜运输,yes,molecular_function
GO:0051782,11,negative regulation of cell division,,,biological_process
GO:0033990,12,ectoine synthase activity,,,molecular_function
GO:0042753,13,positive regulation of circadian rhythm,,,biological_process
GO:0031241,14,periplasmic side of cell outer membrane,朝向细胞周质的外膜侧,none,cellular_component
GO:0005132,15,type I interferon receptor binding,,,molecular_function
GO:0051973,16,positive regulation of telomerase activity,,,biological_process
GO:0005942,17,phosphatidylinositol 3-kinase complex,,,cellular_component
GO:0045895,18,"positive regulation of mating-type specific transcription, DNA-templated",,,biological_process
GO:0070940,19,Unknown,,,biological_process
GO:0015019,20,heparan-alpha-glucosaminide N-acetyltransferase activity,,,molecular_function
GO:0006597,21,spermine biosynthetic process,,,biological_process
GO:1990837,22,sequence-specific double-stranded DNA binding,,,molecular_function
GO:0032221,23,Rpd3S complex,,,cellular_component
GO:0009014,24,succinyl-diaminopimelate desuccinylase activity,,,molecular_function
GO:0000272,25,polysaccharide catabolic process,,,biological_process
GO:0097623,26,potassium ion export across plasma membrane,钾离子跨膜运输,yes,biological_process
GO:0090141,27,positive regulation of mitochondrial fission,,,biological_process
GO:0033711,28,4-phosphoerythronate dehydrogenase activity,,,molecular_function
GO:0033916,29,beta-agarase activity,,,molecular_function
GO:0031167,30,rRNA methylation,,,biological_process
GO:0005223,31,intracellularly cGMP-activated cation channel activity,,,molecular_function
GO:0007050,32,regulation of cell cycle,,,biological_process
GO:0005922,33,connexin complex,,,cellular_component
GO:0043115,34,precorrin-2 dehydrogenase activity,,,molecular_function
GO:0030694,35,"bacterial-type flagellum basal body, rod",,,cellular_component
GO:0009312,36,oligosaccharide biosynthetic process,,,biological_process
GO:0050992,37,dimethylallyl diphosphate biosynthetic process,,,biological_process
GO:0038166,38,angiotensin-activated signaling pathway,,,biological_process
GO:0034707,39,chloride channel complex,,,cellular_component
GO:0006430,40,lysyl-tRNA aminoacylation,,,biological_process
GO:0016592,41,mediator complex,,,cellular_component
GO:0021954,42,central nervous system neuron development,,,biological_process
GO:0034028,43,5-(carboxyamino)imidazole ribonucleotide synthase activity,,,molecular_function
GO:0018576,44,"catechol 1,2-dioxygenase activity",,,molecular_function
GO:0035871,45,protein K11-linked deubiquitination,,,biological_process
GO:0010309,46,acireductone dioxygenase [iron(II)-requiring] activity,,,molecular_function
GO:0050549,47,cyclohexyl-isocyanide hydratase activity,,,molecular_function
GO:0019152,48,acetoin dehydrogenase (NAD+) activity,,,molecular_function
GO:0031083,49,BLOC-1 complex,,,cellular_component
GO:0008143,50,poly(A) binding,,,molecular_function
GO:0006654,51,phosphatidic acid biosynthetic process,,,biological_process
GO:0008616,52,queuosine biosynthetic process,,,biological_process
GO:0004339,53,"glucan 1,4-alpha-glucosidase activity",,,molecular_function
GO:0047173,54,phosphatidylcholine-retinol O-acyltransferase activity,,,molecular_function
GO:0005096,55,GTPase activator activity,,,molecular_function
GO:0032297,56,negative regulation of DNA-templated DNA replication initiation,,,biological_process
GO:0070004,57,cysteine-type exopeptidase activity,,,molecular_function
GO:0010223,58,secondary shoot formation,,,biological_process
GO:0015936,59,coenzyme A metabolic process,,,biological_process
GO:0015941,60,pantothenate catabolic process,,,biological_process
GO:0048731,61,system development,,,biological_process
GO:0015451,62,decarboxylation-driven active transmembrane transporter activity,由细胞质底物脱羧反应驱动的溶质跨膜主动运输,yes,molecular_function
GO:0002407,63,dendritic cell chemotaxis,,,biological_process
GO:0008308,64,voltage-gated monoatomic anion channel activity,,,molecular_function
GO:2000045,65,regulation of G1/S transition of mitotic cell cycle,,,biological_process
GO:0016630,66,protochlorophyllide reductase activity,,,molecular_function
GO:0036159,67,inner dynein arm assembly,,,biological_process
GO:0007142,68,male meiosis II,,,biological_process
GO:0045900,69,negative regulation of translational elongation,,,biological_process
GO:0008968,70,D-sedoheptulose 7-phosphate isomerase activity,,,molecular_function
GO:0006420,71,arginyl-tRNA aminoacylation,,,biological_process
GO:0045907,72,positive regulation of vasoconstriction,,,biological_process
GO:0070395,73,lipoteichoic acid biosynthetic process,,,biological_process
GO:0032760,74,positive regulation of tumor necrosis factor production,,,biological_process
GO:0016159,75,muconolactone delta-isomerase activity,,,molecular_function
GO:0006611,76,protein export from nucleus,,,biological_process
GO:0052874,77,FMN reductase (NADH) activity,,,molecular_function
GO:0043111,78,replication fork arrest,,,biological_process
GO:0031398,79,positive regulation of protein ubiquitination,,,biological_process
GO:0018493,80,formylmethanofuran dehydrogenase activity,,,molecular_function
GO:0030089,81,phycobilisome,,,cellular_component
GO:0018818,82,acetylene hydratase activity,,,molecular_function
GO:0106293,83,NADH oxidase H202-forming activity,,,molecular_function
GO:0050044,84,galactose-6-phosphate isomerase activity,,,molecular_function
GO:0005221,85,intracellularly cyclic nucleotide-activated monoatomic cation channel activity,,,molecular_function
GO:0007342,86,fusion of sperm to egg plasma membrane involved in single fertilization,单次受精过程中精子与卵细胞质膜融合过程,none,biological_process
GO:0005921,87,gap junction,,,cellular_component
GO:0006644,88,phospholipid metabolic process,,,biological_process
GO:0050821,89,protein stabilization,,,biological_process
GO:0110102,90,ribulose bisphosphate carboxylase complex assembly,,,biological_process
GO:0048741,91,skeletal muscle fiber development,,,biological_process
GO:0001934,92,positive regulation of protein phosphorylation,,,biological_process
GO:0047151,93,"tRNA (uracil(54)-C5)-methyltransferase activity, 5,10-methylenetetrahydrofolate-dependent",,,molecular_function
GO:0042627,94,chylomicron,,,cellular_component
GO:0034453,95,microtubule anchoring,,,biological_process
GO:0005523,96,tropomyosin binding,,,molecular_function
GO:0016798,97,"hydrolase activity, acting on glycosyl bonds",,,molecular_function
GO:1990961,98,xenobiotic detoxification by transmembrane export across the plasma membrane,将外源物质毒性降低或消除，并将其排出细胞外的过程,yes,biological_process
GO:0045131,99,pre-mRNA branch point binding,,,molecular_function
GO:0015187,100,glycine transmembrane transporter activity,甘氨酸跨膜转运蛋白活性,yes,molecular_function
GO:0000186,101,Unknown,,,biological_process
GO:0008641,102,ubiquitin-like modifier activating enzyme activity,,,molecular_function
GO:0034975,103,protein folding in endoplasmic reticulum,,,biological_process
GO:0046938,104,phytochelatin biosynthetic process,,,biological_process
GO:0030837,105,negative regulation of actin filament polymerization,,,biological_process
GO:0035307,106,positive regulation of protein dephosphorylation,,,biological_process
GO:0008782,107,adenosylhomocysteine nucleosidase activity,,,molecular_function
GO:0018548,108,pentaerythritol trinitrate reductase activity,,,molecular_function
GO:0000288,109,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",,,biological_process
GO:0070041,110,rRNA (uridine-C5-)-methyltransferase activity,,,molecular_function
GO:0002183,111,cytoplasmic translational initiation,,,biological_process
GO:0004156,112,dihydropteroate synthase activity,,,molecular_function
GO:0009404,113,toxin metabolic process,,,biological_process
GO:0006915,114,apoptotic process,,,biological_process
GO:0003834,115,"beta-carotene 15,15'-dioxygenase activity",,,molecular_function
GO:0039663,116,membrane fusion involved in viral entry into host cell,膜融合参与病毒进入宿主细胞,none,biological_process
GO:0061710,117,L-threonylcarbamoyladenylate synthase,,,molecular_function
GO:0010469,118,regulation of signaling receptor activity,,,biological_process
GO:0006083,119,acetate metabolic process,,,biological_process
GO:0032783,120,super elongation complex,,,cellular_component
GO:1901137,121,carbohydrate derivative biosynthetic process,,,biological_process
GO:0000930,122,gamma-tubulin complex,,,cellular_component
GO:1990970,123,trans-activation response element binding,,,molecular_function
GO:0032197,124,retrotransposition,,,biological_process
GO:0016714,125,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen",,,molecular_function
GO:0032287,126,peripheral nervous system myelin maintenance,,,biological_process
GO:0042742,127,defense response to bacterium,,,biological_process
GO:0009243,128,O antigen biosynthetic process,,,biological_process
GO:0019815,129,B cell receptor complex,,,cellular_component
GO:0006739,130,NADP metabolic process,,,biological_process
GO:0006937,131,regulation of muscle contraction,,,biological_process
GO:0016010,132,dystrophin-associated glycoprotein complex,,,cellular_component
GO:0038022,133,G protein-coupled olfactory receptor activity,,,molecular_function
GO:0046740,134,"transport of virus in host, cell to cell",,,biological_process
GO:0015181,135,L-arginine transmembrane transporter activity,l-精氨酸跨膜运输活性,yes,molecular_function
GO:0008318,136,protein prenyltransferase activity,,,molecular_function
GO:0061708,137,tRNA-5-taurinomethyluridine 2-sulfurtransferase,,,molecular_function
GO:0007040,138,lysosome organization,,,biological_process
GO:0003839,139,gamma-glutamylcyclotransferase activity,,,molecular_function
GO:0071619,140,Unknown,,,biological_process
GO:0016999,141,antibiotic metabolic process,,,biological_process
GO:0070676,142,intralumenal vesicle formation,,,biological_process
GO:0071569,143,protein ufmylation,,,biological_process
GO:0030520,144,estrogen receptor signaling pathway,,,biological_process
GO:0044659,145,viral release from host cell by cytolysis,,,biological_process
GO:0019563,146,glycerol catabolic process,,,biological_process
GO:0071482,147,cellular response to light stimulus,,,biological_process
GO:0005721,148,pericentric heterochromatin,,,cellular_component
GO:0006813,149,potassium ion transport,,,biological_process
GO:0031072,150,heat shock protein binding,,,molecular_function
GO:0007259,151,cell surface receptor signaling pathway via JAK-STAT,,,biological_process
GO:0004482,152,mRNA 5'-cap (guanine-N7-)-methyltransferase activity,,,molecular_function
GO:0015444,153,P-type magnesium transporter activity,,,molecular_function
GO:0006267,154,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,,,biological_process
GO:0008361,155,regulation of cell size,,,biological_process
GO:0030004,156,Unknown,,,biological_process
GO:0070161,157,anchoring junction,,,cellular_component
GO:0003870,158,5-aminolevulinate synthase activity,,,molecular_function
GO:0009897,159,external side of plasma membrane,细胞质膜外侧,none,cellular_component
GO:0000940,160,outer kinetochore,,,cellular_component
GO:0009317,161,acetyl-CoA carboxylase complex,,,cellular_component
GO:0071392,162,cellular response to estradiol stimulus,,,biological_process
GO:0015087,163,cobalt ion transmembrane transporter activity,钴离子跨膜转运体活性,yes,molecular_function
GO:0006570,164,tyrosine metabolic process,,,biological_process
GO:0008959,165,phosphate acetyltransferase activity,,,molecular_function
GO:0044165,166,host cell endoplasmic reticulum,,,cellular_component
GO:0046553,167,D-malate dehydrogenase (decarboxylating) (NAD+) activity,,,molecular_function
GO:2001235,168,positive regulation of apoptotic signaling pathway,,,biological_process
GO:0102478,169,beta-L-arabinofuranosidase activity,,,molecular_function
GO:0008190,170,eukaryotic initiation factor 4E binding,,,molecular_function
GO:0071230,171,cellular response to amino acid stimulus,,,biological_process
GO:0051592,172,response to calcium ion,,,biological_process
GO:0075713,173,establishment of integrated proviral latency,,,biological_process
GO:0008791,174,arginine N-succinyltransferase activity,,,molecular_function
GO:0048513,175,animal organ development,,,biological_process
GO:0000404,176,heteroduplex DNA loop binding,,,molecular_function
GO:0007626,177,locomotory behavior,,,biological_process
GO:0044666,178,MLL3/4 complex,,,cellular_component
GO:0010521,179,telomerase inhibitor activity,,,molecular_function
GO:0004055,180,argininosuccinate synthase activity,,,molecular_function
GO:0006567,181,threonine catabolic process,,,biological_process
GO:0009272,182,fungal-type cell wall biogenesis,,,biological_process
GO:0043027,183,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,,,molecular_function
GO:0033209,184,tumor necrosis factor-mediated signaling pathway,,,biological_process
GO:0016036,185,cellular response to phosphate starvation,,,biological_process
GO:0018277,186,protein deamination,,,biological_process
GO:0016920,187,pyroglutamyl-peptidase activity,,,molecular_function
GO:0006596,188,polyamine biosynthetic process,,,biological_process
GO:0052881,189,4-hydroxyphenylacetate 3-monooxygenase activity,,,molecular_function
GO:0005849,190,mRNA cleavage factor complex,,,cellular_component
GO:0048666,191,neuron development,,,biological_process
GO:0009486,192,cytochrome bo3 ubiquinol oxidase activity,,,molecular_function
GO:0008528,193,G protein-coupled peptide receptor activity,,,molecular_function
GO:0045595,194,regulation of cell differentiation,,,biological_process
GO:0016780,195,"phosphotransferase activity, for other substituted phosphate groups",,,molecular_function
GO:0004797,196,thymidine kinase activity,,,molecular_function
GO:0008013,197,beta-catenin binding,,,molecular_function
GO:0106311,198,protein serine/threonine kinase activity,,,molecular_function
GO:0019483,199,beta-alanine biosynthetic process,,,biological_process
GO:0006290,200,pyrimidine dimer repair,,,biological_process
GO:0071765,201,nuclear inner membrane organization,,none,biological_process
GO:0070038,202,rRNA (pseudouridine-N3-)-methyltransferase activity,,,molecular_function
GO:0004045,203,aminoacyl-tRNA hydrolase activity,,,molecular_function
GO:0045926,204,negative regulation of growth,,,biological_process
GO:0006271,205,DNA strand elongation involved in DNA replication,,,biological_process
GO:0031146,206,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,,,biological_process
GO:0015221,207,lipopolysaccharide transmembrane transporter activity,,yes,molecular_function
GO:0016042,208,lipid catabolic process,,,biological_process
GO:0061631,209,ubiquitin conjugating enzyme activity,,,molecular_function
GO:0000986,210,cis-regulatory region sequence-specific DNA binding,,,molecular_function
GO:0008673,211,2-dehydro-3-deoxygluconokinase activity,,,molecular_function
GO:0001534,212,radial spoke,,,cellular_component
GO:0033818,213,beta-ketoacyl-acyl-carrier-protein synthase III activity,,,molecular_function
GO:0016586,214,RSC-type complex,,,cellular_component
GO:0016433,215,rRNA (adenine) methyltransferase activity,,,molecular_function
GO:0045717,216,negative regulation of fatty acid biosynthetic process,,,biological_process
GO:0060173,217,limb development,,,biological_process
GO:0008784,218,alanine racemase activity,,,molecular_function
GO:0008157,219,protein phosphatase 1 binding,,,molecular_function
GO:0006406,220,mRNA export from nucleus,,,biological_process
GO:0016765,221,"transferase activity, transferring alkyl or aryl (other than methyl) groups",,,molecular_function
GO:0016462,222,pyrophosphatase activity,,,molecular_function
GO:0009695,223,jasmonic acid biosynthetic process,,,biological_process
GO:0000215,224,tRNA 2'-phosphotransferase activity,,,molecular_function
GO:0102553,225,Unknown,,,molecular_function
GO:0010265,226,SCF complex assembly,,,biological_process
GO:0050830,227,defense response to Gram-positive bacterium,,,biological_process
GO:0004471,228,malate dehydrogenase (decarboxylating) (NAD+) activity,,,molecular_function
GO:0004174,229,electron-transferring-flavoprotein dehydrogenase activity,,,molecular_function
GO:0006415,230,translational termination,,,biological_process
GO:0000967,231,rRNA 5'-end processing,,,biological_process
GO:0008661,232,1-deoxy-D-xylulose-5-phosphate synthase activity,,,molecular_function
GO:0006826,233,iron ion transport,,,biological_process
GO:0004719,234,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,,,molecular_function
GO:0044804,235,nucleophagy,,,biological_process
GO:0030325,236,adrenal gland development,,,biological_process
GO:0045505,237,dynein intermediate chain binding,,,molecular_function
GO:0061400,238,Unknown,,,biological_process
GO:0005673,239,transcription factor TFIIE complex,,,cellular_component
GO:0090482,240,vitamin transmembrane transporter activity,,yes,molecular_function
GO:1902626,241,assembly of large subunit precursor of preribosome,,,biological_process
GO:0071897,242,DNA biosynthetic process,,,biological_process
GO:0090158,243,endoplasmic reticulum membrane organization,,none,biological_process
GO:0009555,244,pollen development,,,biological_process
GO:0045839,245,negative regulation of mitotic nuclear division,,,biological_process
GO:1990879,246,CST complex,,,cellular_component
GO:0030964,247,NADH dehydrogenase complex,,,cellular_component
GO:0047482,248,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase activity,,,molecular_function
GO:0042310,249,vasoconstriction,,,biological_process
GO:0031144,250,proteasome localization,,,biological_process
GO:0043232,251,intracellular non-membrane-bounded organelle,,none,cellular_component
GO:0030414,252,peptidase inhibitor activity,,,molecular_function
GO:0009018,253,sucrose phosphorylase activity,,,molecular_function
GO:0006616,254,"SRP-dependent cotranslational protein targeting to membrane, translocation",,none,biological_process
GO:0010172,255,embryonic body morphogenesis,,,biological_process
GO:0004161,256,dimethylallyltranstransferase activity,,,molecular_function
GO:0006354,257,DNA-templated transcription elongation,,,biological_process
GO:0004807,258,triose-phosphate isomerase activity,,,molecular_function
GO:0071526,259,semaphorin-plexin signaling pathway,,,biological_process
GO:0009098,260,L-leucine biosynthetic process,,,biological_process
GO:0005987,261,sucrose catabolic process,,,biological_process
GO:0032091,262,negative regulation of protein binding,,,biological_process
GO:0014065,263,Unknown,,,biological_process
GO:0050709,264,negative regulation of protein secretion,,,biological_process
GO:0033574,265,response to testosterone,,,biological_process
GO:1903373,266,positive regulation of endoplasmic reticulum tubular network organization,,,biological_process
GO:0043388,267,positive regulation of DNA binding,,,biological_process
GO:0035497,268,cAMP response element binding,,,molecular_function
GO:0008504,269,monoamine transmembrane transporter activity,,yes,molecular_function
GO:0016155,270,formyltetrahydrofolate dehydrogenase activity,,,molecular_function
GO:0031100,271,animal organ regeneration,,,biological_process
GO:0004846,272,urate oxidase activity,,,molecular_function
GO:0008940,273,nitrate reductase activity,,,molecular_function
GO:0004824,274,lysine-tRNA ligase activity,,,molecular_function
GO:0044228,275,host cell surface,,,cellular_component
GO:0042866,276,pyruvate biosynthetic process,,,biological_process
GO:2001295,277,malonyl-CoA biosynthetic process,,,biological_process
GO:0009926,278,auxin polar transport,,,biological_process
GO:0003842,279,1-pyrroline-5-carboxylate dehydrogenase activity,,,molecular_function
GO:0002935,280,tRNA (adenine(37)-C2)-methyltransferase activity,,,molecular_function
GO:0008941,281,nitric oxide dioxygenase NAD(P)H activity,,,molecular_function
GO:0050819,282,negative regulation of coagulation,,,biological_process
GO:0004104,283,cholinesterase activity,,,molecular_function
GO:0008795,284,NAD+ synthase activity,,,molecular_function
GO:0055040,285,periplasmic flagellum,,,cellular_component
GO:0098024,286,"virus tail, fiber",,,cellular_component
GO:0005991,287,trehalose metabolic process,,,biological_process
GO:0070818,288,protoporphyrinogen oxidase activity,,,molecular_function
GO:0050605,289,superoxide reductase activity,,,molecular_function
GO:0034227,290,tRNA thio-modification,,,biological_process
GO:0031647,291,regulation of protein stability,,,biological_process
GO:0047116,292,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase activity",,,molecular_function
GO:0000922,293,spindle pole,,,cellular_component
GO:0098535,294,de novo centriole assembly involved in multi-ciliated epithelial cell differentiation,,,biological_process
GO:0015169,295,glycerol-3-phosphate transmembrane transporter activity,,yes,molecular_function
GO:0009636,296,response to toxic substance,,,biological_process
GO:0070469,297,respirasome,,,cellular_component
GO:0003963,298,RNA-3'-phosphate cyclase activity,,,molecular_function
GO:0060047,299,heart contraction,,,biological_process
GO:0051966,300,"regulation of synaptic transmission, glutamatergic",,,biological_process
GO:0004556,301,alpha-amylase activity,,,molecular_function
GO:0044175,302,host cell endosome membrane,,none,cellular_component
GO:0047471,303,maltose alpha-D-glucosyltransferase activity,,,molecular_function
GO:0004477,304,methenyltetrahydrofolate cyclohydrolase activity,,,molecular_function
GO:0103118,305,UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase activity,,,molecular_function
GO:0000779,306,"condensed chromosome, centromeric region",,,cellular_component
GO:0006811,307,monoatomic ion transport,,,biological_process
GO:0048364,308,root development,,,biological_process
GO:0030855,309,epithelial cell differentiation,,,biological_process
GO:0005544,310,calcium-dependent phospholipid binding,,,molecular_function
GO:0097199,311,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,,,molecular_function
GO:0035446,312,cysteine-glucosaminylinositol ligase activity,,,molecular_function
GO:0006301,313,postreplication repair,,,biological_process
GO:0017080,314,sodium channel regulator activity,,,molecular_function
GO:0045162,315,clustering of voltage-gated sodium channels,,,biological_process
GO:0016762,316,xyloglucan:xyloglucosyl transferase activity,,,molecular_function
GO:0060319,317,primitive erythrocyte differentiation,,,biological_process
GO:0032740,318,positive regulation of interleukin-17 production,,,biological_process
GO:1900364,319,Unknown,,,biological_process
GO:0061186,320,negative regulation of silent mating-type cassette heterochromatin formation,,,biological_process
GO:0000103,321,sulfate assimilation,,,biological_process
GO:0004673,322,protein histidine kinase activity,,,molecular_function
GO:0030880,323,RNA polymerase complex,,,cellular_component
GO:0048598,324,embryonic morphogenesis,,,biological_process
GO:0044166,325,host cell endoplasmic reticulum lumen,,,cellular_component
GO:0015680,326,protein maturation by copper ion transfer,,,biological_process
GO:0071793,327,bacillithiol biosynthetic process,,,biological_process
GO:0090630,328,activation of GTPase activity,,,biological_process
GO:0140662,329,ATP-dependent protein folding chaperone,,,molecular_function
GO:0003860,330,3-hydroxyisobutyryl-CoA hydrolase activity,,,molecular_function
GO:0042719,331,mitochondrial intermembrane space protein transporter complex,,none,cellular_component
GO:0051315,332,attachment of mitotic spindle microtubules to kinetochore,,,biological_process
GO:0044209,333,AMP salvage,,,biological_process
GO:0015301,334,Unknown,,,molecular_function
GO:0043880,335,crotonyl-CoA reductase activity,,,molecular_function
GO:0008914,336,leucyl-tRNA--protein transferase activity,,,molecular_function
GO:0001666,337,response to hypoxia,,,biological_process
GO:0102250,338,linear malto-oligosaccharide phosphorylase activity,,,molecular_function
GO:0009437,339,carnitine metabolic process,,,biological_process
GO:0034709,340,methylosome,,,cellular_component
GO:0034454,341,microtubule anchoring at centrosome,,,biological_process
GO:0031936,342,Unknown,,,biological_process
GO:0044179,343,hemolysis in another organism,,,biological_process
GO:0031145,344,anaphase-promoting complex-dependent catabolic process,,,biological_process
GO:0033198,345,response to ATP,,,biological_process
GO:0016571,346,Unknown,,,biological_process
GO:0008597,347,calcium-dependent protein serine/threonine phosphatase regulator activity,,,molecular_function
GO:0102756,348,Unknown,,,molecular_function
GO:0006656,349,phosphatidylcholine biosynthetic process,,,biological_process
GO:0035804,350,structural constituent of egg coat,,,molecular_function
GO:0042645,351,mitochondrial nucleoid,,,cellular_component
GO:0004736,352,pyruvate carboxylase activity,,,molecular_function
GO:0009452,353,7-methylguanosine RNA capping,,,biological_process
GO:0051495,354,positive regulation of cytoskeleton organization,,,biological_process
GO:0042998,355,positive regulation of Golgi to plasma membrane protein transport,,none,biological_process
GO:0015054,356,gastrin receptor activity,,,molecular_function
GO:0000224,357,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,,,molecular_function
GO:0052749,358,glucose-6-phosphate dehydrogenase (coenzyme F420) activity,,,molecular_function
GO:0032454,359,histone H3K9 demethylase activity,,,molecular_function
GO:0043528,360,tRNA (m2G10) methyltransferase complex,,,cellular_component
GO:0006066,361,alcohol metabolic process,,,biological_process
GO:0008195,362,phosphatidate phosphatase activity,,,molecular_function
GO:0001935,363,endothelial cell proliferation,,,biological_process
GO:0097421,364,liver regeneration,,,biological_process
GO:0043914,365,NADPH:sulfur oxidoreductase activity,,,molecular_function
GO:0098849,366,cellular detoxification of cadmium ion,,,biological_process
GO:0030594,367,neurotransmitter receptor activity,,,molecular_function
GO:0005846,368,nuclear cap binding complex,,,cellular_component
GO:0008281,369,sulfonylurea receptor activity,,,molecular_function
GO:0008138,370,protein tyrosine/serine/threonine phosphatase activity,,,molecular_function
GO:0010606,371,positive regulation of cytoplasmic mRNA processing body assembly,,,biological_process
GO:0051908,372,double-stranded DNA 5'-3' DNA exonuclease activity,,,molecular_function
GO:0048545,373,response to steroid hormone,,,biological_process
GO:0003727,374,single-stranded RNA binding,,,molecular_function
GO:0007224,375,smoothened signaling pathway,,,biological_process
GO:0045930,376,negative regulation of mitotic cell cycle,,,biological_process
GO:0005149,377,interleukin-1 receptor binding,,,molecular_function
GO:0140053,378,mitochondrial gene expression,,,biological_process
GO:0047117,379,Unknown,,,molecular_function
GO:0006782,380,protoporphyrinogen IX biosynthetic process,,,biological_process
GO:0015627,381,type II protein secretion system complex,,,cellular_component
GO:0042151,382,nematocyst,,,cellular_component
GO:0019284,383,L-methionine salvage from S-adenosylmethionine,,,biological_process
GO:0051591,384,response to cAMP,,,biological_process
GO:0031047,385,regulatory ncRNA-mediated gene silencing,,,biological_process
GO:0016034,386,maleylacetoacetate isomerase activity,,,molecular_function
GO:0071333,387,cellular response to glucose stimulus,,,biological_process
GO:0004721,388,phosphoprotein phosphatase activity,,,molecular_function
GO:0009712,389,catechol-containing compound metabolic process,,,biological_process
GO:0097027,390,ubiquitin-protein transferase activator activity,,,molecular_function
GO:0009851,391,auxin biosynthetic process,,,biological_process
GO:0102726,392,DIMBOA glucoside beta-D-glucosidase activity,,,molecular_function
GO:0003871,393,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,,,molecular_function
GO:0004073,394,aspartate-semialdehyde dehydrogenase activity,,,molecular_function
